province,number1,number2,diff,firsttime,flipped,mpnumber
กระบี่,148568,37306,111262,54856,-56406,3
กรุงเทพมหานคร,1356672,1246057,110615,592952,482337,33
กาญจนบุรี,183684,162552,21132,91510,70378,5
กาฬสินธุ์,296535,119712,176823,102316,-74507,6
กำแพงเพชร,160876,145878,14998,76376,61378,4
ขอนแก่น,619139,88498,530641,206345,-324296,10
จันทบุรี,138930,91390,47540,58308,10768,3
ฉะเชิงเทรา,163019,133150,29869,75543,45674,4
ชลบุรี,239737,224250,15487,167096,151609,8
ชัยนาท,92824,62134,30690,31295,605,2
ชัยภูมิ,344524,75814,268710,118642,-150068,7
ชุมพร,203185,21811,181374,56638,-124736,3
เชียงราย,389662,148090,241572,123945,-117627,7
เชียงใหม่,575622,221546,354076,169098,-184978,10
ตรัง,289136,23340,265796,74622,-191174,4
ตราด,68194,36198,31996,23419,-8577,1
ตาก,130803,56809,73994,68713,-5281,3
นครนายก,46073,45960,113,29145,29032,1
นครปฐม,220738,166540,54198,103891,49693,5
นครพนม,202862,87024,115838,83564,-32274,4
นครราชสีมา,531877,334349,197528,284127,86599,15
นครศรีธรรมราช,573669,41670,531999,175410,-356589,9
นครสวรรค์,190270,120044,70226,107994,37768,6
นนทบุรี,283705,245684,38021,119616,81595,6
นราธิวาส,117686,86206,31480,108232,76752,4
น่าน,165019,62223,102796,49398,-53398,3
บึงกาฬ,105447,70846,34601,47313,12712,2
บุรีรัมย์,354009,274386,79623,185352,105729,9
ปทุมธานี,256053,144213,111840,124079,12239,6
ประจวบคีรีขันธ์,174234,67068,107166,58813,-48353,3
ปราจีนบุรี,67084,61913,5171,54835,49664,3
ปัตตานี,106586,83816,22770,101796,79026,4
พระนครศรีอยุธยา,256991,81477,175514,82490,-93024,5
พะเยา,172430,63491,108939,49939,-59000,3
พังงา,108559,18599,89960,28972,-60988,1
พัทลุง,224157,21248,202909,57281,-145628,3
พิจิตร,101356,85517,15839,55118,39279,3
พิษณุโลก,214399,172594,41805,100133,58328,5
เพชรบุรี,162330,74774,87556,49681,-37875,3
เพชรบูรณ์,259412,169333,90079,105918,15839,6
แพร่,177226,89173,88053,42489,-45564,3
ภูเก็ต,105506,28252,77254,43976,-33278,2
มหาสารคาม,327333,133092,194241,117337,-76904,5
มุกดาหาร,125863,21960,103903,39176,-64727,2
แม่ฮ่องสอน,43732,31953,11779,31047,19268,1
ยโสธร,169582,53205,116377,59036,-57341,3
ยะลา,102008,62037,39971,73003,33032,3
ร้อยเอ็ด,459120,96588,362532,142828,-219704,8
ระนอง,57342,8496,48846,21497,-27349,1
ระยอง,195066,94667,100399,75586,-24813,4
ราชบุรี,143303,140871,2432,91949,89517,5
ลพบุรี,172784,147913,24871,88055,63184,4
ลำปาง,268198,126919,141279,71893,-69386,4
ลำพูน,163709,83360,80349,35497,-44852,2
เลย,180990,103446,77544,65240,-12304,4
ศรีสะเกษ,450143,76340,373803,171207,-202596,8
สกลนคร,325365,102919,222446,130573,-91873,7
สงขลา,564540,60196,504344,166059,-338285,8
สตูล,69504,30791,38713,38719,6,2
สมุทรปราการ,285241,174512,110729,138605,27876,7
สมุทรสงคราม,67719,28870,38849,18648,-20201,1
สมุทรสาคร,127055,115243,11812,57837,46025,3
สระแก้ว,179583,76393,103190,63679,-39511,3
สระบุรี,137891,107321,30570,72808,42238,4
สิงห์บุรี,59640,39889,19751,19624,-127,1
สุโขทัย,106034,91860,14174,58193,44019,4
สุพรรณบุรี,233049,168860,64189,85823,21634,5
สุราษฎร์ธานี,402101,41994,360107,115881,-244226,6
สุรินทร์,294301,204828,89473,163114,73641,8
หนองคาย,154256,43314,110942,59159,-51783,3
หนองบัวลำภู,182377,37235,145142,57141,-88001,3
อ่างทอง,80070,62534,17536,27760,10224,2
อำนาจเจริญ,80871,80797,74,42628,42554,2
อุดรธานี,560107,72403,487704,177913,-309791,9
อุตรดิตถ์,123199,47802,75397,46156,-29241,3
อุทัยธานี,63132,54228,8904,33666,24762,2
อุบลราชธานี,417322,247493,169829,222658,52829,11
